Experiments,BA_OD<--AC_OD,BA_OD<--BA_OD,BA_OD<--BC_OD,BA_OD<--BL_OD,BA_OD<--BT_OD,BA_OD<--BV_OD,BA_OD<--CC_OD,BA_OD<--DF_OD,BA_OD<--parc+_OD,BA_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
BT_pH7_1,-0.08869555031556799,-0.13605045936839735,0.005660453654987656,-0.024446228919145857,-0.013750556085420695,-0.014112431652358044,-0.007022447351204316,0.035724510437120556,0.039960976520796186,0.04470783480321584,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683949395216
BT_pH7_2,-0.10516653396999058,-0.11293114133827065,0.004563619780313708,-0.027749113593574445,-0.014215227015640423,-0.016560141304912776,-0.004193361077619637,0.030171890680718683,0.038704376759250536,0.04935173288959525,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4811025384560845
BT_pH8_0,-0.09299634369900046,-0.1296464931284604,0.00577707856569601,-0.01862504539768333,-0.0112875035405159,-0.011659276730826366,-0.010523877539064572,0.03495715643400731,0.03898850581082314,0.03699189589885266,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936979692529
BT_pH8_1,-0.11450296488954967,-0.12630265066319185,0.005423913866929385,-0.02112663771228298,-0.011229186433812847,-0.012245985675279214,-0.009203491754343979,0.03357478744876773,0.04764958789977043,0.04993872462893309,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698578516113
BT_pH8_2,-0.09449875713771454,-0.14472169686918673,0.008403331322352525,-0.026335505386409556,-0.011375424149243732,-0.01568324076983592,-0.007221749865490457,0.038971291186045046,0.044440678737895645,0.04999716963538009,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6440713470669853
BT_pH9_0,-0.10138366177030232,-0.13326876048889497,0.00657835470917432,-0.015919655545250225,-0.010121166045251102,-0.012575211210743242,-0.007675037493362378,0.030921788940449123,0.03788504951512037,0.04753439639168589,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859280132171
BT_pH9_1,-0.08250913497951369,-0.12772441475692653,0.005773208960080924,-0.021443416095622204,-0.010318659459767135,-0.013418881239612468,-0.004689556635592293,0.023185306575311263,0.03909362674488322,0.03402802183414282,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7412574926289346
BT_pH9_2,-0.09522077469722084,-0.12876685918025352,0.007641034101176522,-0.0266760770684999,-0.010150436260130095,-0.015253925591545259,-0.003998577776162519,0.03653466551362173,0.039439039960827524,0.038428007740041494,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747526246417331
BV_pH4_0,-0.0623466949440215,-0.09356282612065903,0.0030351389661107354,-0.017837696211493535,0.022956398724699793,0.0021244934266028215,-0.004119932061952091,0.023592727777102723,0.03246648753466813,-0.0643320003548718,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
BV_pH4_1,-0.0594595428361841,-0.08779160328290385,0.005752967040499914,-0.015840024970795796,0.023777874190684244,0.0019222877895378574,-0.00047939547216114804,0.01725879115821875,0.027314923660748676,-0.07048018018836562,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
