Experiments,DF_OD<--AC_OD,DF_OD<--BA_OD,DF_OD<--BC_OD,DF_OD<--BL_OD,DF_OD<--BT_OD,DF_OD<--BV_OD,DF_OD<--CC_OD,DF_OD<--DF_OD,DF_OD<--wt_OD,DF_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
BA_pH7_0,-0.07627690556418636,0.001646286540705222,-0.004083037781326667,-0.036752294716627706,0.022548640334735744,-0.013225686231061165,-0.018991664910446043,-0.05732352628656056,0.026574462908117668,0.02742713874448901,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47615668850189524
BA_pH7_1,-0.053632124623526706,0.0020623485873574794,-0.0048826483961032785,-0.03121047285749861,0.020702769791950345,-0.016350222621922907,-0.006273571644788203,-0.08310078485342473,0.020292959381704747,0.023935160484650858,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683981394347
BA_pH7_2,-0.058720017098214325,0.0014884616304998795,-0.005764745857728564,-0.03743469223865997,0.023696936880764758,-0.01604591837071854,-0.010603792265705441,-0.0707772676743891,0.02698871675392855,0.01871573193889597,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48110253833913064
BA_pH8_0,-0.06324943373060746,0.0020757259493288777,-0.00444636816887752,-0.02739069377274617,0.022557970887940867,-0.022272696248863057,-0.016993981411923532,-0.053922303986290235,0.023858823552727698,0.011326370627983758,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936980952847
BA_pH8_1,-0.06701784950235616,0.0019437885932300386,-0.0024776188770066136,-0.027209766950944198,0.02258224994592045,-0.012598867241455161,-0.008500694068877592,-0.0729470485124899,0.02214464293225952,0.015624577380392862,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698583743298
BA_pH8_2,-0.05558695939086054,0.001804946550856466,-0.0013617442985591685,-0.0332747862941545,0.01884178269330574,-0.014585837938863299,-0.011864603283288687,-0.07568081170644447,0.019722559594589732,0.02352886777209199,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64407134594908
BA_pH9_0,-0.04231709373709948,0.002082630635603613,-0.003496852936628071,-0.0313846040662864,0.016493212091534034,-0.017134971155420595,-0.007907315295027653,-0.06717671613330427,0.02116756706134133,0.0012175563981999514,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859295671521
BA_pH9_1,-0.041001697616732634,0.0022214726779771887,-0.0022574626038903783,-0.03622306063123371,0.016699913497204368,-0.014838017792157505,-0.009628565424810286,-0.05780864536438298,0.016989057102928994,-0.002609580146229785,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.741257491587475
BA_pH9_2,-0.05388722902730756,0.0020826306356036143,-0.0009765231722722887,-0.03201163958272209,0.01570218035870272,-0.01149363560197146,-0.005299999589181465,-0.0638553706491771,0.020011401412927586,0.0012715989140712695,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74752624576109
BC_pH4_0,-0.04742251837707085,0.014976243924187577,-0.0004622633301693448,-0.01634561456415964,0.015487246160273969,-0.010136696346428081,-0.009237019432627636,-0.054204475481225096,0.016495250573624737,-0.037606730963224956,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
BC_pH4_1,-0.03231308195254077,0.0009013809749613631,-0.0003081755534462298,-0.021114188672407812,0.011210520688606345,-0.00831775626896516,-0.004690631628036499,-0.04615286986788978,0.017240063468723192,-0.04491184652175592,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
BC_pH4_2,-0.04166175139986951,0.012189562978303951,-0.00041090073792830794,-0.022989375072976822,0.011323438283541926,-0.009597923318329064,-0.00140567624050638,-0.05076396392415399,0.018080319460967314,-0.043220314830541604,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
BC_pH5_0,-0.03782336680137592,0.0057489128346028566,-0.0006837561467419494,-0.03225311151179283,0.019665167228035303,-0.005748900026082992,-0.003828078333450402,-0.07628916863837967,0.02560514583211879,-0.02284943150599365,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
BC_pH5_1,-0.034580976153197496,0.016631668197072066,-0.000389599372511324,-0.017385563451958738,0.01643465343700803,-0.0131010519972314,-0.006567008722087613,-0.061130362178968355,0.020030227653358292,-0.04839856608406357,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02446646428818786
